Code Name
O Olfactory_bulb
H Hypothalamus
I Hippocampus
S Striatum
C Cerebellum
T Brainstem
X Prefrontal_cortex
R Raphe_nuclei
W Whole_brain
del32H SNORD115_and_SNORD116_KO_adult_hypothalamus
del32P1H SNORD115_and_SNORD116_KO_P1_hypothalamus
e16 Embryo_d16_whole_brain
e16c Embryo_d16_cortex
e16h Embryo_d16_hypothalamus
e16i Embryo_d16_hippocampus
hypo adult_pituitary_gland
mCPP mCPP-treated_adult_hypothalamus
ME Adult_spinal_chord
Nacl NaCl-treated_adult_hypothalamus
P1H P1_hypothalamus
wb Adult_whole_brain
