Zone,Animal ID,Genotype,Entries
Open,C30,WT,10
Open,C31,WT,8
Open,C35,WT,12
Open,C37,WT,10
Open,C41,WT,4
Open,C42,WT,10
Open,C44,WT,6
Open,C47,WT,10
Open,C49,WT,17
Open,C51,WT,7
Close,C30,WT,21
Close,C31,WT,10
Close,C35,WT,22
Close,C37,WT,12
Close,C41,WT,12
Close,C42,WT,9
Close,C44,WT,17
Close,C47,WT,12.7
Close,C49,WT,13
Close,C51,WT,13
Open,C29,KO,8
Open,C32,KO,11
Open,C34,KO,9
Open,C36,KO,5
Open,C38,KO,11
Open,C39,KO,7
Open,C40,KO,10
Open,C43,KO,9
Open,C46,KO,8
Open,C48,KO,11
Open,C50,KO,13
Open,C52,KO,12
Close,C29,KO,16
Close,C32,KO,13
Close,C34,KO,13
Close,C36,KO,12
Close,C38,KO,19
Close,C39,KO,14
Close,C40,KO,13
Close,C43,KO,17
Close,C46,KO,11
Close,C48,KO,17
Close,C50,KO,18
Close,C52,KO,13
