Zone,Animal ID,Genotype,Time (s)
E1,C54,WT,10.72
E1,C58,WT,6.56
E1,C60,WT,7.28
E1,C62,WT,17.44
E1,C64,WT,13.28
E1,C65,WT,12.96
E1,C66,WT,14.64
E1,C68,WT,23.68
E1,C69,WT,14.48
E2,C54,WT,10.16
E2,C58,WT,5.84
E2,C60,WT,9.28
E2,C62,WT,2.72
E2,C64,WT,13.84
E2,C65,WT,9.04
E2,C66,WT,16.56
E2,C68,WT,23.68
E2,C69,WT,10.00
E1,C53,KO,16.64
E1,C55,KO,6.72
E1,C56,KO,10.24
E1,C57,KO,6.00
E1,C59,KO,13.68
E1,C61,KO,8.08
E1,C63,KO,8.88
E1,C67,KO,13.2
E2,C53,KO,14.88
E2,C55,KO,6.48
E2,C56,KO,7.68
E2,C57,KO,4.24
E2,C59,KO,5.36
E2,C61,KO,10.56
E2,C63,KO,18.72
E2,C67,KO,12.96
