Zone,Animal ID,Genotype,Time (s)
S1,C54,WT,7.68
S1,C58,WT,5.2
S1,C60,WT,12.8
S1,C62,WT,27.52
S1,C64,WT,34.8
S1,C65,WT,14.8
S1,C66,WT,12.08
S1,C68,WT,18.56
S1,C53,KO,11.12
S1,C55,KO,4.24
S1,C56,KO,5.76
S1,C57,KO,7.6
S1,C59,KO,10.24
S1,C61,KO,18.08
S1,C63,KO,18.32
S1,C67,KO,31.68
E,C54,WT,3.6
E,C58,WT,1.28
E,C60,WT,2.4
E,C62,WT,6.64
E,C64,WT,4.08
E,C65,WT,8.64
E,C66,WT,8.4
E,C68,WT,7.52
E,C53,KO,5.84
E,C55,KO,2.00
E,C56,KO,3.28
E,C57,KO,2.96
E,C59,KO,2.72
E,C61,KO,2.00
E,C63,KO,8.08
E,C67,KO,9.28
