Zone,Animal ID,Genotype,Time (s)
S1,C54,WT,5.52
S1,C58,WT,2.24
S1,C60,WT,16.56
S1,C62,WT,10.00
S1,C64,WT,6.88
S1,C65,WT,8.00
S1,C66,WT,6.00
S1,C68,WT,11.68
S1,C69,WT,5.84
S1,C53,KO,7.28
S1,C55,KO,3.12
S1,C56,KO,3.84
S1,C57,KO,7.68
S1,C59,KO,8.88
S1,C61,KO,3.92
S1,C63,KO,8.64
S1,C67,KO,7.76
S2,C54,WT,15.28
S2,C58,WT,10.96
S2,C60,WT,17.12
S2,C62,WT,25.2
S2,C64,WT,0.00
S2,C65,WT,17.6
S2,C66,WT,29.92
S2,C68,WT,20.48
S2,C69,WT,17.92
S2,C53,KO,8.24
S2,C55,KO,11.6
S2,C56,KO,21.04
S2,C57,KO,11.92
S2,C59,KO,16.8
S2,C61,KO,4.56
S2,C63,KO,18.16
S2,C67,KO,11.52
