Time,Animal ID,Genotype,Glucose (mg/dL)
-15,37,WT,69
-15,39,WT,91
-15,41,WT,102
-15,46,WT,85
-15,53,WT,107
-15,58,WT,99
-15,59,WT,96
-15,60,WT,111
-15,28,WT,81
0,37,WT,101
0,39,WT,130
0,41,WT,133
0,46,WT,116
0,53,WT,180
0,58,WT,122
0,59,WT,116
0,60,WT,146
0,28,WT,112
15,37,WT,278
15,39,WT,362
15,41,WT,334
15,46,WT,302
15,53,WT,368
15,58,WT,321
15,59,WT,313
15,60,WT,313
15,28,WT,263
30,37,WT,281
30,39,WT,387
30,41,WT,323
30,46,WT,306
30,53,WT,365
30,58,WT,250
30,59,WT,270
30,60,WT,356
30,28,WT,293
45,37,WT,262
45,39,WT,290
45,41,WT,319
45,46,WT,298
45,53,WT,350
45,58,WT,181
45,59,WT,245
45,60,WT,263
45,28,WT,231
60,37,WT,271
60,39,WT,267
60,41,WT,289
60,46,WT,210
60,53,WT,295
60,58,WT,150
60,59,WT,212
60,60,WT,238
60,28,WT,211
90,37,WT,160
90,39,WT,171
90,41,WT,192
90,46,WT,134
90,53,WT,177
90,58,WT,113
90,59,WT,132
90,60,WT,187
90,28,WT,130
120,37,WT,153
120,39,WT,148
120,41,WT,178
120,46,WT,146
120,53,WT,176
120,58,WT,104
120,59,WT,135
120,60,WT,167
120,28,WT,133
-15,38,KO,78
-15,40,KO,98
-15,47,KO,88
-15,51,KO,98
-15,52,KO,81
-15,20,KO,117
-15,21,KO,93
-15,22,KO,90
-15,56,KO,80
-15,57,KO,78
-15,29,KO,87
-15,30,KO,76
-15,31,KO,77
-15,32,KO,79
0,38,KO,114
0,40,KO,128
0,47,KO,121
0,51,KO,145
0,52,KO,109
0,20,KO,140
0,21,KO,154
0,22,KO,151
0,56,KO,135
0,57,KO,114
0,29,KO,117
0,30,KO,94
0,31,KO,122
0,32,KO,118
15,38,KO,358
15,40,KO,327
15,47,KO,306
15,51,KO,373
15,52,KO,284
15,20,KO,378
15,21,KO,382
15,22,KO,351
15,56,KO,309
15,57,KO,271
15,29,KO,316
15,30,KO,297
15,31,KO,278
15,32,KO,243
30,38,KO,333
30,40,KO,322
30,47,KO,301
30,51,KO,365
30,52,KO,285
30,20,KO,319
30,21,KO,294
30,22,KO,344
30,56,KO,249
30,57,KO,286
30,29,KO,270
30,30,KO,296
30,31,KO,247
30,32,KO,308
45,38,KO,258
45,40,KO,295
45,47,KO,327
45,51,KO,295
45,52,KO,205
45,20,KO,313
45,21,KO,237
45,22,KO,317
45,56,KO,207
45,57,KO,237
45,29,KO,256
45,30,KO,400
45,31,KO,214
45,32,KO,280
60,38,KO,249
60,40,KO,268
60,47,KO,229
60,51,KO,249
60,52,KO,188
60,20,KO,227
60,21,KO,204
60,22,KO,252
60,56,KO,207
60,57,KO,207
60,29,KO,209
60,30,KO,231
60,31,KO,211
60,32,KO,248
90,38,KO,187
90,40,KO,193
90,47,KO,165
90,51,KO,161
90,52,KO,148
90,20,KO,181
90,21,KO,189
90,22,KO,198
90,56,KO,149
90,57,KO,165
90,29,KO,172
90,30,KO,146
90,31,KO,146
90,32,KO,165
120,38,KO,153
120,40,KO,157
120,47,KO,145
120,51,KO,147
120,52,KO,119
120,20,KO,160
120,21,KO,174
120,22,KO,159
120,56,KO,145
120,57,KO,156
120,29,KO,145
120,30,KO,142
120,31,KO,150
120,32,KO,142
