Zone,Animal ID,Genotype,Activity
Day,28,WT,25364
Day,37,WT,19704
Day,39,WT,19115
Day,41,WT,20630
Day,46,WT,23633
Day,53,WT,16673
Day,58,WT,43822
Day,59,WT,30456
Day,60,WT,9427
Day,20,KO,22201
Day,21,KO,21158
Day,22,KO,21767
Day,29,KO,21186
Day,30,KO,30894
Day,31,KO,24849
Day,38,KO,21894
Day,40,KO,15296
Day,47,KO,17606
Day,51,KO,46608
Day,52,KO,24944
Day,56,KO,20939
Day,57,KO,16656
Night,28,WT,110517
Night,37,WT,78204
Night,39,WT,78803
Night,41,WT,90964
Night,46,WT,88127
Night,53,WT,82158
Night,58,WT,75128
Night,59,WT,108506
Night,60,WT,33965
Night,20,KO,91973
Night,21,KO,64521
Night,22,KO,59115
Night,29,KO,78489
Night,30,KO,125779
Night,31,KO,87265
Night,38,KO,85134
Night,40,KO,98458
Night,47,KO,110791
Night,51,KO,74179
Night,52,KO,68418
Night,56,KO,102066
Night,57,KO,75887
