Zone,Genotype,mRNA level
Fed,WT,0.429313673863437
Fed,WT,0.550330692637546
Fed,WT,0.99209631467696
Fed,WT,1.09163936158968
Fed,WT,0.563687543983111
Fed,KO,0.578526346690151
Fed,KO,0.52791203479942
Fed,KO,0.452
Fed,KO,1.51065428586764
Fed,KO,0.897260273972603
Fed,KO,1.36786912751678
Starved,WT,0.872243839169909
Starved,WT,1.0810502283105
Starved,WT,1.11104179663132
Starved,WT,1.09942363112392
Starved,WT,1.78306878306878
Starved,WT,1.27939091865197
Starved,WT,1.64027190887378
Starved,WT,1.60313630880579
Starved,KO,1.16285357737105
Starved,KO,0.989716509171762
Starved,KO,1.30771954674221
Starved,KO,1.35356272013005
Starved,KO,1.36824623560673
Starved,KO,1.75288780450612
Starved,KO,1.81863979848866
Starved,KO,1.39373930056248
