Zone,Genotype,mRNA level
Fed,WT,0.629945585395822
Fed,WT,0.531506650192601
Fed,WT,0.855344177924823
Fed,WT,0.936898847901913
Fed,WT,0.506607240597389
Fed,KO,0.596286511081755
Fed,KO,0.542351377477042
Fed,KO,0.107695384615385
Fed,KO,0.932236594922441
Fed,KO,0.854583772391992
Fed,KO,0.882245271507016
Starved,WT,0.932068741893645
Starved,WT,1.03224885844749
Starved,WT,0.910667498440424
Starved,WT,1.18616714697406
Starved,WT,1.74482924482925
Starved,WT,1.46097215236179
Starved,WT,1.15928715781738
Starved,WT,1.43486127864897
Starved,KO,1.19945923460899
Starved,KO,1.0801834352418
Starved,KO,1.18201133144476
Starved,KO,1.04389054456787
Starved,KO,1.5235828166519
Starved,KO,1.4974648316877
Starved,KO,1.1024349286314
Starved,KO,1.46221570066031
