Zone,Genotype,mRNA level
Fed,WT,0.674881516587678
Fed,WT,1.2380260193328
Fed,WT,1.54057531476886
Fed,WT,1.43610611986048
Fed,WT,2.35718195324107
Fed,KO,1.15617202407163
Fed,KO,0.77851619139681
Fed,KO,0.859507692307692
Fed,KO,2.23015404433471
Fed,KO,1.10514827638115
Fed,KO,1.05437766931056
Starved,WT,0.993298746217035
Starved,WT,0.921518264840183
Starved,WT,1.08203368683718
Starved,WT,1.18472622478386
Starved,WT,0.854256854256854
Starved,WT,0.881658969317298
Starved,WT,1.08058056218997
Starved,WT,0.550633293124246
Starved,KO,0.617200499168053
Starved,KO,0.585464146748194
Starved,KO,1.56763456090652
Starved,KO,1.10159848279599
Starved,KO,1.01749335695306
Starved,KO,0.933551904235446
Starved,KO,0.701259445843829
Starved,KO,0.650036683785767
