Zone,Period,Animal ID,Genotype,Food intake (g)
NaCl,0-60 min,274,WT,0.9
NaCl,0-60 min,276,WT,0.49
NaCl,0-60 min,278,WT,0.470000000000001
NaCl,0-60 min,292,WT,0.920000000000002
NaCl,0-60 min,294,WT,1.16
NaCl,0-60 min,290,WT,0.879999999999999
NaCl,60-120 min,274,WT,0.280000000000001
NaCl,60-120 min,276,WT,0.0199999999999996
NaCl,60-120 min,278,WT,0.539999999999999
NaCl,60-120 min,292,WT,0.120000000000001
NaCl,60-120 min,294,WT,0.0
NaCl,60-120 min,290,WT,0.48
NaCl,0-60 min,273,KO,1.02
NaCl,0-60 min,275,KO,0.92
NaCl,0-60 min,277,KO,0.550000000000001
NaCl,0-60 min,293,KO,0.459999999999999
NaCl,0-60 min,295,KO,0.92
NaCl,0-60 min,288,KO,0.930000000000002
NaCl,0-60 min,289,KO,0.290000000000001
NaCl,60-120 min,273,KO,0.19
NaCl,60-120 min,275,KO,0.75
NaCl,60-120 min,277,KO,0.219999999999999
NaCl,60-120 min,293,KO,0.00999999999999979
NaCl,60-120 min,295,KO,0.0699999999999985
NaCl,60-120 min,288,KO,0.0399999999999991
NaCl,60-120 min,289,KO,0.459999999999999
mCPP,0-60 min,274,WT,0.379999999999999
mCPP,0-60 min,276,WT,0.00999999999999979
mCPP,0-60 min,278,WT,0.00999999999999979
mCPP,0-60 min,292,WT,0.67
mCPP,0-60 min,294,WT,0.969999999999999
mCPP,0-60 min,290,WT,0.00999999999999979
mCPP,60-120 min,274,WT,0.460000000000001
mCPP,60-120 min,276,WT,0.0
mCPP,60-120 min,278,WT,0.0
mCPP,60-120 min,292,WT,0.26
mCPP,60-120 min,294,WT,0.0800000000000001
mCPP,60-120 min,290,WT,0.0
mCPP,0-60 min,273,KO,0.42
mCPP,0-60 min,275,KO,0.0199999999999996
mCPP,0-60 min,277,KO,0.0700000000000003
mCPP,0-60 min,293,KO,0.140000000000001
mCPP,0-60 min,295,KO,0.44
mCPP,0-60 min,288,KO,0.529999999999999
mCPP,0-60 min,289,KO,0.0
mCPP,60-120 min,273,KO,0.16
mCPP,60-120 min,275,KO,0.0
mCPP,60-120 min,277,KO,0.0
mCPP,60-120 min,293,KO,0.27
mCPP,60-120 min,295,KO,0.23
mCPP,60-120 min,288,KO,0.4
mCPP,60-120 min,289,KO,0.35
