Zone,Animal ID,Genotype,RER
Day,384,WT,0.789208333333333
Day,385,WT,0.760604166666667
Day,387,WT,0.733604166666667
Day,389,WT,0.758083333333333
Day,391,WT,0.721020833333333
Day,400,WT,0.731916666666666
Day,371,WT,0.721270833333333
Day,372,WT,0.767666666666667
Day,414,KO,0.766333333333333
Day,373,KO,0.768104166666667
Day,388,KO,0.741583333333333
Day,390,KO,0.734270833333334
Day,406,KO,0.7303125
Day,407,KO,0.734770833333333
Day,398,KO,0.7395625
Day,399,KO,0.750291666666666
Day,401,KO,0.719229166666667
Day,402,KO,0.72225
Night,384,WT,0.785125
Night,385,WT,0.756645833333333
Night,387,WT,0.731
Night,389,WT,0.760104166666666
Night,391,WT,0.743333333333333
Night,400,WT,0.759145833333333
Night,371,WT,0.747791666666666
Night,372,WT,0.7579375
Night,414,KO,0.802354166666667
Night,373,KO,0.788458333333333
Night,388,KO,0.750166666666667
Night,390,KO,0.769520833333333
Night,406,KO,0.7484375
Night,407,KO,0.754333333333334
Night,398,KO,0.747916666666667
Night,399,KO,0.748083333333333
Night,401,KO,0.740645833333333
Night,402,KO,0.736083333333334
